Primary code,UNS,Category,High_Cu,Low_Cu,High_Zn,Low_Zn,High_Pb,Low_Pb,High_Sn,Low_Sn,High_Ni,Low_Ni,High_Al,Low_Al,High_Mn,Low_Mn,High_Fe,Low_Fe,,,,,,
CW452K,C51900,Wire,94.3,92.4,0,0,0,0,7,5.5,0,0,0,0,0,0,0,0,,,,,,
CW453K,C52100,PSS,92.3,90.9,0,0,0,0,8.5,7.5,0,0,0,0,0,0,0,0,,,,,,
CW453K,C52100,RBS,92.3,90.9,0,0,0,0,8.5,7.5,0,0,0,0,0,0,0,0,,,,,,
CW453K,C52100,Tube,92.3,90.9,0,0,0,0,8.5,7.5,0,0,0,0,0,0,0,0,,,,,,
CW453K,C52100,Wire,92.3,90.9,0,0,0,0,8.5,7.5,0,0,0,0,0,0,0,0,,,,,,
CW454K,NA,PSS,90.8,86.3,10,7.5,0,0,3.5,1.5,0,0,0,0,0,0,0,0,,,,,,
CW455K,NA,RBS,94.8,92.4,0,0,2.5,1.5,4.5,3.5,0,0,0,0,0,0,0,0,,,,,,
CW455K,NA,Tube,94.8,92.4,0,0,2.5,1.5,4.5,3.5,0,0,0,0,0,0,0,0,,,,,,
CW456K,C54600,RBS,89.3,85.9,4.5,3.5,4.5,3.5,4.5,3.5,0,0,0,0,0,0,0,0,,,,,,
CW457K,C51800,RBS,95.2,93.4,0,0,0,0,5,4,0,0,0,0,0,0,0,0,,,,,,
CW458K,C53400,RBS,95.8,93.4,0,0,1.5,0.5,4.5,3.5,0,0,0,0,0,0,0,0,,,,,,
CW459K,C52100,RBS,92.3,90.9,0,0,0,0,8.5,7.5,0,0,0,0,0,0,0,0,,,,,,
CW459K,C52100,Tube,92.3,90.9,0,0,0,0,8.5,7.5,0,0,0,0,0,0,0,0,,,,,,
CW460K,C52180,Tube,92,89.9,0,0,0.5,0.1,9,7.5,0,0,0,0,0,0,0,0,,,,,,
CW500L,C21000,PSS,96,94,6,3.48,0.05,0,0.1,0,0.3,0,0.02,0,0,0,0.05,0,,,,,,
CW501L,C22000,PSS,91,89,11,8.48,0.05,0,0.1,0,0.3,0,0.02,0,0,0,0.05,0,,,,,,
CW501L,C22000,Tube,91,89,11,8.48,0.05,0,0.1,0,0.3,0,0.02,0,0,0,0.05,0,,,,,,
