,Year,CU,TCRC,SP2,logTCRC,logSP2,logCU
Huludao,1997,0.3466666666666667,906.3963774982449,686.8798854471715,2.9573181611584447,2.8368807987068965,-0.46008791542088207
Huludao,1998,0.5,820.28826929231,498.08672926585473,2.9139665008743325,2.6973049707960497,-0.3010299956639812
Huludao,1999,0.562875,557.9950901626388,452.20109928406646,2.746630377567231,2.6553316137643694,-0.24958804002901075
Huludao,2000,0.625075,555.4588259029698,533.8081174976221,2.744651871835172,2.7273851737182913,-0.20406787044476649
Huludao,2001,0.7394375,585.971062800398,398.2247760378723,2.767876169641964,2.6001282766903815,-0.13109852829618582
Huludao,2002,0.67875,528.7539362675177,358.9698750922221,2.723253613466596,2.5550580039260367,-0.16829015740309666
Huludao,2003,0.6269625,437.7020239493989,303.6604734259495,2.641178554810563,2.482388264785618,-0.20275843449641853
Huludao,2004,0.5891124999999999,314.71018578087495,642.7808068011332,2.49791079933788,2.808062900411151,-0.22980176215039355
Huludao,2005,0.6945875,605.9993462162437,702.623222632848,2.7824721556269614,2.8467224997039864,-0.15827303664557257
Huludao,2006,0.7188749999999999,654.0771892519688,1222.9212106889845,2.815629003504782,3.087398477587995,-0.14334661939421858
Huludao,2007,0.42625,400.97019232272004,1066.9176514175442,2.6031120888523045,3.0281309002912953,-0.37033560799944587
Huludao,2008,0.09,289.6092544923923,870.8586548308886,2.461812435670004,2.9399476723345104,-1.0457574905606752
Huludao,2009,0.08,484.40437246063215,733.937472228944,2.685208054634009,2.86565906179256,-1.0969100130080565
Huludao,2010,,295.48463456469347,965.4771784642735,2.4705349021469982,2.9847420125699213,
Huludao,2011,,344.9625421973603,1184.76825799962,2.537771939710449,3.073633410165182,
Huludao,2012,,377.1973518924253,910.701977977671,2.576568635118991,2.959376279832519,
Huludao,2013,,416.49708654295705,620.9346932352228,2.6196119678010477,2.7930459256853943,
Huludao,2014,0.4,538.6579380491202,637.6917506905429,2.7313130643034063,2.8046107989023414,-0.3979400086720376
