,Year,CU,TCRC,SP2
Gresik,2012,0.6573333333333333,377.1973518924253,910.701977977671
Gresik,2013,0.7143333333333334,416.49708654295705,620.9346932352228
Gresik,2014,0.7726666666666667,538.6579380491202,637.6917506905429
Gresik,2015,0.6613333333333333,625.7403040522361,626.0847314924467
Gresik,2016,0.8,562.2139195262345,526.1823495711269
Gresik,2017,0.9333333333333333,523.0624830203443,756.6289598528965
Wetar,2014,1.0,538.6579380491202,637.6917506905429
Wetar,2015,1.0,625.7403040522361,626.0847314924467
Wetar,2016,1.0,562.2139195262345,526.1823495711269
Wetar,2017,1.0,523.0624830203443,756.6289598528965
Hitachi,1992,0.9484848484848485,987.505982760015,
Hitachi,1993,0.9771363636363636,959.1938700091315,643.4263428857876
Hitachi,1994,0.8409090909090909,841.3371092476353,710.6444034910924
Hitachi,1995,0.8787878787878788,659.2490789967804,1003.1611059604347
Hitachi,1996,0.9242424242424242,839.2436749351455,694.3183006954018
Hitachi,1997,0.9714285714285714,906.3963774982449,686.8798854471715
Hitachi,1998,0.896774193548387,820.28826929231,498.08672926585473
Hitachi,1999,0.9672046783625731,557.9950901626388,452.20109928406646
Hitachi,2000,0.9914,555.4588259029698,533.8081174976221
Hitachi,2001,0.948888888888889,585.971062800398,398.2247760378723
Hitachi,2002,0.9386555555555556,528.7539362675177,358.9698750922221
Hitachi,2003,0.98585,437.7020239493989,303.6604734259495
Hitachi,2004,0.9830824175824175,314.71018578087495,642.7808068011332
Hitachi,2005,0.9867526315789474,605.9993462162437,702.623222632848
Hitachi,2006,0.9304279069767442,654.0771892519688,1222.9212106889845
Hitachi,2007,0.9727272727272728,400.97019232272004,1066.9176514175442
Hitachi,2008,0.9545454545454546,289.6092544923923,870.8586548308886
Hitachi,2009,0.8571818181818183,484.40437246063215,733.937472228944
Hitachi,2010,0.8110318181818181,295.48463456469347,965.4771784642735
Hitachi,2011,0.6045181818181818,344.9625421973603,1184.76825799962
Hitachi,2012,0.6752272727272728,377.1973518924253,910.701977977671
Hitachi,2013,0.6436363636363636,416.49708654295705,620.9346932352228
Hitachi,2014,0.7340681818181818,538.6579380491202,637.6917506905429
Hitachi,2015,0.6590909090909091,625.7403040522361,626.0847314924467
Hitachi,2016,0.6590909090909091,562.2139195262345,526.1823495711269
Hitachi,2017,0.6590909090909091,523.0624830203443,756.6289598528965
Kosaka,1992,0.9833333333333334,987.505982760015,
Kosaka,1993,0.9932592592592593,959.1938700091315,643.4263428857876
Kosaka,1994,0.9814814814814815,841.3371092476353,710.6444034910924
Kosaka,1995,0.9814814814814815,659.2490789967804,1003.1611059604347
Kosaka,1996,1.0,839.2436749351455,694.3183006954018
Kosaka,1997,1.0,906.3963774982449,686.8798854471715
Kosaka,1998,1.0,820.28826929231,498.08672926585473
Kosaka,1999,0.9870153846153847,557.9950901626388,452.20109928406646
Kosaka,2000,0.9768333333333332,555.4588259029698,533.8081174976221
Kosaka,2001,0.9305555555555556,585.971062800398,398.2247760378723
Kosaka,2002,0.9516388888888889,528.7539362675177,358.9698750922221
Kosaka,2003,0.9323194444444444,437.7020239493989,303.6604734259495
Kosaka,2004,0.6216805555555556,314.71018578087495,642.7808068011332
Kosaka,2005,0.7023472222222222,605.9993462162437,702.623222632848
Kosaka,2006,0.8350138888888889,654.0771892519688,1222.9212106889845
Kosaka,2007,0.7638888888888888,400.97019232272004,1066.9176514175442
Kosaka,2008,0.76,289.6092544923923,870.8586548308886
Kosaka,2009,0.38116,484.40437246063215,733.937472228944
Kosaka,2010,0.30356,295.48463456469347,965.4771784642735
Kosaka,2011,0.31920000000000004,344.9625421973603,1184.76825799962
Kosaka,2012,0.35600000000000004,377.1973518924253,910.701977977671
Kosaka,2013,0.36,416.49708654295705,620.9346932352228
Kosaka,2014,0.36,538.6579380491202,637.6917506905429
Kosaka,2015,0.36,625.7403040522361,626.0847314924467
Kosaka,2016,0.36,562.2139195262345,526.1823495711269
Kosaka,2017,0.36,523.0624830203443,756.6289598528965
Naoshima,1992,0.9988950276243095,987.505982760015,
Naoshima,1993,1.0009289617486339,959.1938700091315,643.4263428857876
Naoshima,1994,0.9726775956284153,841.3371092476353,710.6444034910924
Naoshima,1995,0.9398907103825137,659.2490789967804,1003.1611059604347
Naoshima,1996,0.9781420765027322,839.2436749351455,694.3183006954018
Naoshima,1997,0.9453551912568307,906.3963774982449,686.8798854471715
Naoshima,1998,0.9890710382513661,820.28826929231,498.08672926585473
Naoshima,1999,1.059344262295082,557.9950901626388,452.20109928406646
Naoshima,2000,1.0379121951219512,555.4588259029698,533.8081174976221
Naoshima,2001,0.9870370370370369,585.971062800398,398.2247760378723
Naoshima,2002,0.9985925925925926,528.7539362675177,358.9698750922221
Naoshima,2003,1.0051296296296297,437.7020239493989,303.6604734259495
Naoshima,2004,1.0001272727272728,314.71018578087495,642.7808068011332
Naoshima,2005,0.9072,605.9993462162437,702.623222632848
Naoshima,2006,0.9757863636363636,654.0771892519688,1222.9212106889845
Naoshima,2007,0.9545454545454546,400.97019232272004,1066.9176514175442
Naoshima,2008,0.9,289.6092544923923,870.8586548308886
Naoshima,2009,0.7942571428571428,484.40437246063215,733.937472228944
Naoshima,2010,0.9402367346938776,295.48463456469347,965.4771784642735
Naoshima,2011,0.9092979591836734,344.9625421973603,1184.76825799962
Naoshima,2012,0.9473469387755101,377.1973518924253,910.701977977671
Naoshima,2013,0.8551020408163266,416.49708654295705,620.9346932352228
Naoshima,2014,0.9183673469387755,538.6579380491202,637.6917506905429
Naoshima,2015,0.8653061224489796,625.7403040522361,626.0847314924467
Naoshima,2016,0.9591836734693877,562.2139195262345,526.1823495711269
Naoshima,2017,0.8571428571428571,523.0624830203443,756.6289598528965
Niihama,1992,0.9728,987.505982760015,
Niihama,1993,0.9796370370370371,959.1938700091315,643.4263428857876
Niihama,1994,0.9333333333333333,841.3371092476353,710.6444034910924
Niihama,1995,0.9703703703703703,659.2490789967804,1003.1611059604347
Niihama,1996,1.0,839.2436749351455,694.3183006954018
Niihama,1997,1.0,906.3963774982449,686.8798854471715
Niihama,1998,0.8534666666666667,820.28826929231,498.08672926585473
Niihama,1999,0.8626666666666667,557.9950901626388,452.20109928406646
Niihama,2000,0.9,555.4588259029698,533.8081174976221
Niihama,2001,0.9373333333333332,585.971062800398,398.2247760378723
Niihama,2002,0.9107333333333334,528.7539362675177,358.9698750922221
Niihama,2003,0.8962352941176471,437.7020239493989,303.6604734259495
Niihama,2004,0.8341352941176471,314.71018578087495,642.7808068011332
Niihama,2005,0.8888705882352942,605.9993462162437,702.623222632848
Niihama,2006,0.8762470588235294,654.0771892519688,1222.9212106889845
Niihama,2007,0.9470588235294117,400.97019232272004,1066.9176514175442
Niihama,2008,0.8235294117647058,289.6092544923923,870.8586548308886
Niihama,2009,0.8235294117647058,484.40437246063215,733.937472228944
Niihama,2010,0.9,295.48463456469347,965.4771784642735
Niihama,2011,0.7058823529411765,344.9625421973603,1184.76825799962
Niihama,2012,0.9823529411764705,377.1973518924253,910.701977977671
Niihama,2013,0.8235294117647058,416.49708654295705,620.9346932352228
Niihama,2014,0.9558823529411765,538.6579380491202,637.6917506905429
Niihama,2015,0.8529411764705882,625.7403040522361,626.0847314924467
Niihama,2016,0.9882352941176471,562.2139195262345,526.1823495711269
Niihama,2017,0.8235294117647058,523.0624830203443,756.6289598528965
Onahama,1992,0.8603921568627452,987.505982760015,
Onahama,1993,0.909756862745098,959.1938700091315,643.4263428857876
Onahama,1994,0.803921568627451,841.3371092476353,710.6444034910924
Onahama,1995,0.9108527131782945,659.2490789967804,1003.1611059604347
Onahama,1996,0.9728682170542635,839.2436749351455,694.3183006954018
Onahama,1997,0.9728682170542635,906.3963774982449,686.8798854471715
Onahama,1998,0.9069767441860465,820.28826929231,498.08672926585473
Onahama,1999,0.8605116279069768,557.9950901626388,452.20109928406646
Onahama,2000,0.9688255813953488,555.4588259029698,533.8081174976221
Onahama,2001,0.9337209302325582,585.971062800398,398.2247760378723
Onahama,2002,0.8556317829457364,528.7539362675177,358.9698750922221
Onahama,2003,0.8984728682170543,437.7020239493989,303.6604734259495
Onahama,2004,0.886,314.71018578087495,642.7808068011332
Onahama,2005,0.8846705426356589,605.9993462162437,702.623222632848
Onahama,2006,0.9090775193798449,654.0771892519688,1222.9212106889845
Onahama,2007,0.7945736434108527,400.97019232272004,1066.9176514175442
Onahama,2008,0.9341085271317829,289.6092544923923,870.8586548308886
Onahama,2009,0.7734496124031008,484.40437246063215,733.937472228944
Onahama,2010,0.941108527131783,295.48463456469347,965.4771784642735
Onahama,2011,0.5904612403100775,344.9625421973603,1184.76825799962
Onahama,2012,0.9577519379844961,377.1973518924253,910.701977977671
Onahama,2013,0.8798449612403101,416.49708654295705,620.9346932352228
Onahama,2014,0.875968992248062,538.6579380491202,637.6917506905429
Onahama,2015,0.9186046511627907,625.7403040522361,626.0847314924467
Onahama,2016,0.872093023255814,562.2139195262345,526.1823495711269
Onahama,2017,0.872093023255814,523.0624830203443,756.6289598528965
Saganoseki,1992,0.9975,987.505982760015,
Saganoseki,1993,0.9995,959.1938700091315,643.4263428857876
Saganoseki,1994,0.9365853658536586,841.3371092476353,710.6444034910924
Saganoseki,1995,0.9658536585365853,659.2490789967804,1003.1611059604347
Saganoseki,1996,0.9772727272727273,839.2436749351455,694.3183006954018
Saganoseki,1997,0.9954545454545455,906.3963774982449,686.8798854471715
Saganoseki,1998,0.9695652173913043,820.28826929231,498.08672926585473
Saganoseki,1999,0.9726190476190476,557.9950901626388,452.20109928406646
Saganoseki,2000,0.9549407407407408,555.4588259029698,533.8081174976221
Saganoseki,2001,0.924074074074074,585.971062800398,398.2247760378723
Saganoseki,2002,0.9107407407407407,528.7539362675177,358.9698750922221
Saganoseki,2003,0.8779444444444444,437.7020239493989,303.6604734259495
Saganoseki,2004,0.7819074074074075,314.71018578087495,642.7808068011332
Saganoseki,2005,0.7586407407407407,605.9993462162437,702.623222632848
Saganoseki,2006,0.8236444444444444,654.0771892519688,1222.9212106889845
Saganoseki,2007,0.8222222222222222,400.97019232272004,1066.9176514175442
Saganoseki,2008,0.7962962962962963,289.6092544923923,870.8586548308886
Saganoseki,2009,0.7747777777777778,484.40437246063215,733.937472228944
Saganoseki,2010,0.8200222222222222,295.48463456469347,965.4771784642735
Saganoseki,2011,0.8171703703703703,344.9625421973603,1184.76825799962
Saganoseki,2012,0.72,377.1973518924253,910.701977977671
Saganoseki,2013,0.832962962962963,416.49708654295705,620.9346932352228
Saganoseki,2014,0.8526481481481482,538.6579380491202,637.6917506905429
Saganoseki,2015,0.6962962962962963,625.7403040522361,626.0847314924467
Saganoseki,2016,0.8518518518518519,562.2139195262345,526.1823495711269
Saganoseki,2017,0.8518518518518519,523.0624830203443,756.6289598528965
Takehara,1992,0.5928571428571429,987.505982760015,
Takehara,1993,0.5738095238095239,959.1938700091315,643.4263428857876
Takehara,1994,0.5714285714285714,841.3371092476353,710.6444034910924
Takehara,1995,0.5714285714285714,659.2490789967804,1003.1611059604347
Takehara,1996,0.5714285714285714,839.2436749351455,694.3183006954018
Takehara,1997,0.5714285714285714,906.3963774982449,686.8798854471715
Takehara,1998,0.5714285714285714,820.28826929231,498.08672926585473
Takehara,1999,0.5571428571428572,557.9950901626388,452.20109928406646
Takehara,2000,0.4767619047619048,555.4588259029698,533.8081174976221
Takehara (SxEw),1992,1.0,987.505982760015,
Takehara (SxEw),1993,1.0,959.1938700091315,643.4263428857876
Takehara (SxEw),1994,1.0,841.3371092476353,710.6444034910924
Takehara (SxEw),1995,1.0,659.2490789967804,1003.1611059604347
Takehara (SxEw),1996,1.0,839.2436749351455,694.3183006954018
Takehara (SxEw),1997,1.0,906.3963774982449,686.8798854471715
Takehara (SxEw),1998,1.0,820.28826929231,498.08672926585473
Takehara (SxEw),1999,1.0,557.9950901626388,452.20109928406646
Takehara (SxEw),2000,1.0,555.4588259029698,533.8081174976221
Tamano,1992,0.9968944099378882,987.505982760015,
Tamano,1993,0.9739751552795031,959.1938700091315,643.4263428857876
Tamano,1994,0.9751552795031055,841.3371092476353,710.6444034910924
Tamano,1995,0.9137055837563451,659.2490789967804,1003.1611059604347
Tamano,1996,0.9441624365482234,839.2436749351455,694.3183006954018
Tamano,1997,0.9593908629441624,906.3963774982449,686.8798854471715
Tamano,1998,0.9072815533980583,820.28826929231,498.08672926585473
Tamano,1999,0.9248300970873786,557.9950901626388,452.20109928406646
Tamano,2000,0.946626213592233,555.4588259029698,533.8081174976221
Tamano,2001,1.0395454545454546,585.971062800398,398.2247760378723
Tamano,2002,0.9740478260869565,528.7539362675177,358.9698750922221
Tamano,2003,0.9369458333333333,437.7020239493989,303.6604734259495
Tamano,2004,0.9482750000000001,314.71018578087495,642.7808068011332
Tamano,2005,0.947,605.9993462162437,702.623222632848
Tamano,2006,0.9726125,654.0771892519688,1222.9212106889845
Tamano,2007,1.0,400.97019232272004,1066.9176514175442
Tamano,2008,1.0076923076923077,289.6092544923923,870.8586548308886
Tamano,2009,0.9870153846153847,484.40437246063215,733.937472228944
Tamano,2010,0.9903846153846154,295.48463456469347,965.4771784642735
