,Year,Secondary ratio,CU,SR,TCRC,SP2
Sao Miguel,2007,0,1.0,1.0,400.97019232272004,1066.9176514175442
Sao Miguel,2008,0,1.0,1.0,289.6092544923923,870.8586548308886
Sao Miguel,2009,0,1.0,1.0,484.40437246063215,733.937472228944
Sao Miguel,2010,0,1.0,1.0,295.48463456469347,965.4771784642735
Sao Miguel,2011,0,1.0,1.0,344.9625421973603,1184.76825799962
Sao Miguel,2012,0,1.0,1.0,377.1973518924253,910.701977977671
Sao Miguel,2013,0,1.0,1.0,416.49708654295705,620.9346932352228
Sao Miguel,2014,0,1.0,1.0,538.6579380491202,637.6917506905429
Sao Miguel,2015,0,1.0,1.0,625.7403040522361,626.0847314924467
Sao Miguel,2016,0,1.0,1.0,562.2139195262345,526.1823495711269
Sao Miguel,2017,0,1.0,1.0,523.0624830203443,756.6289598528965
Montreal East (CCR),1992,0,0.9529428571428571,,987.505982760015,
Montreal East (CCR),1993,0,0.9742857142857143,,959.1938700091315,643.4263428857876
Montreal East (CCR),1994,0,0.9861111111111112,,841.3371092476353,710.6444034910924
Montreal East (CCR),1995,0,0.9619444444444445,,659.2490789967804,1003.1611059604347
Montreal East (CCR),1996,0,0.9461888888888889,,839.2436749351455,694.3183006954018
Montreal East (CCR),1997,0,0.9433777777777778,,906.3963774982449,686.8798854471715
Montreal East (CCR),1998,0,0.900638888888889,,820.28826929231,498.08672926585473
Montreal East (CCR),1999,0,0.8628,,557.9950901626388,452.20109928406646
Montreal East (CCR),2000,0,0.8470594594594594,,555.4588259029698,533.8081174976221
Montreal East (CCR),2001,0,0.8730351351351352,,585.971062800398,398.2247760378723
Montreal East (CCR),2002,0,0.6601405405405406,,528.7539362675177,358.9698750922221
Montreal East (CCR),2003,0,0.6362837837837838,,437.7020239493989,303.6604734259495
Montreal East (CCR),2004,0,0.7794459459459459,,314.71018578087495,642.7808068011332
Montreal East (CCR),2005,0,0.822118918918919,,605.9993462162437,702.623222632848
Montreal East (CCR),2006,0,0.9954567567567568,,654.0771892519688,1222.9212106889845
Montreal East (CCR),2007,0,0.8636540540540542,,400.97019232272004,1066.9176514175442
Montreal East (CCR),2008,0,0.9319108108108108,0.07366439776454653,289.6092544923923,870.8586548308886
