,Year,Secondary ratio,CU,SR,TCRC,SP2
Fengyuan,2009,0,,,484.40437246063215,733.937472228944
Fengyuan,2010,0,,,295.48463456469347,965.4771784642735
Fengyuan,2011,0,,,344.9625421973603,1184.76825799962
Fengyuan,2012,0,,,377.1973518924253,910.701977977671
Fengyuan,2013,0,,,416.49708654295705,620.9346932352228
Fengyuan,2014,0,,,538.6579380491202,637.6917506905429
Fengyuan,2015,0,0.6,1.0,625.7403040522361,626.0847314924467
Fengyuan,2016,0,0.75,1.0,562.2139195262345,526.1823495711269
Fengyuan,2017,0,0.9,1.0,523.0624830203443,756.6289598528965
Fuwang (Yushan),1992,0,,,987.505982760015,
Fuwang (Yushan),1993,0,,,959.1938700091315,643.4263428857876
Fuwang (Yushan),1994,0,,,841.3371092476353,710.6444034910924
Fuwang (Yushan),1995,0,,,659.2490789967804,1003.1611059604347
Fuwang (Yushan),1996,0,,,839.2436749351455,694.3183006954018
Fuwang (Yushan),1997,0,,,906.3963774982449,686.8798854471715
Fuwang (Yushan),1998,0,,,820.28826929231,498.08672926585473
Fuwang (Yushan),1999,0,,,557.9950901626388,452.20109928406646
Fuwang (Yushan),2000,0,,,555.4588259029698,533.8081174976221
Fuwang (Yushan),2001,0,,,585.971062800398,398.2247760378723
Fuwang (Yushan),2002,0,,,528.7539362675177,358.9698750922221
Fuwang (Yushan),2003,0,,,437.7020239493989,303.6604734259495
Fuwang (Yushan),2004,0,,,314.71018578087495,642.7808068011332
Fuwang (Yushan),2005,0,,,605.9993462162437,702.623222632848
Fuwang (Yushan),2006,0,,,654.0771892519688,1222.9212106889845
Fuwang (Yushan),2007,0,,,400.97019232272004,1066.9176514175442
Fuwang (Yushan),2008,0,,,289.6092544923923,870.8586548308886
Fuwang (Yushan),2009,0,0.2608695652173913,1.0,484.40437246063215,733.937472228944
Fuwang (Yushan),2010,0,0.19,1.0,295.48463456469347,965.4771784642735
Fuwang (Yushan),2011,0,0.2,1.0,344.9625421973603,1184.76825799962
Fuwang (Yushan),2012,0,0.4,1.0,377.1973518924253,910.701977977671
Fuwang (Yushan),2013,0,0.35,1.0,416.49708654295705,620.9346932352228
Fuwang (Yushan),2014,0,0.225,1.0,538.6579380491202,637.6917506905429
Fuwang (Yushan),2015,0,0.25,1.0,625.7403040522361,626.0847314924467
Fuwang (Yushan),2016,0,0.375,1.0,562.2139195262345,526.1823495711269
Fuwang (Yushan),2017,0,0.5,1.0,523.0624830203443,756.6289598528965
Guangzhou (GCFP),1992,0,0.9727272727272727,1.0,987.505982760015,
Guangzhou (GCFP),1993,0,0.8636363636363636,1.0,959.1938700091315,643.4263428857876
Guangzhou (GCFP),1994,0,0.9090909090909091,1.0,841.3371092476353,710.6444034910924
Guangzhou (GCFP),1995,0,0.8181818181818182,1.0,659.2490789967804,1003.1611059604347
Guangzhou (GCFP),1996,0,,,839.2436749351455,694.3183006954018
Guangzhou (GCFP),1997,0,,,906.3963774982449,686.8798854471715
Guangzhou (GCFP),1998,0,,,820.28826929231,498.08672926585473
Guangzhou (GCFP),1999,0,,,557.9950901626388,452.20109928406646
Guangzhou (GCFP),2000,0,,,555.4588259029698,533.8081174976221
Guangzhou (GCFP),2001,0,,,585.971062800398,398.2247760378723
Guangzhou (GCFP),2002,0,,,528.7539362675177,358.9698750922221
Guangzhou (GCFP),2003,0,,,437.7020239493989,303.6604734259495
Guangzhou (GCFP),2004,0,,,314.71018578087495,642.7808068011332
Guangzhou (GCFP),2005,0,,,605.9993462162437,702.623222632848
Guangzhou (GCFP),2006,0,,,654.0771892519688,1222.9212106889845
Guangzhou (GCFP),2007,0,,,400.97019232272004,1066.9176514175442
Guangzhou (GCFP),2008,0,,,289.6092544923923,870.8586548308886
Guangzhou (GCFP),2009,0,,,484.40437246063215,733.937472228944
Guangzhou (GCFP),2010,0,,,295.48463456469347,965.4771784642735
Guangzhou (GCFP),2011,0,,,344.9625421973603,1184.76825799962
Guangzhou (GCFP),2012,0,,,377.1973518924253,910.701977977671
Guangzhou (GCFP),2013,0,,,416.49708654295705,620.9346932352228
Guangzhou (GCFP),2014,0,,,538.6579380491202,637.6917506905429
Guangzhou (GCFP),2015,0,,,625.7403040522361,626.0847314924467
Guangzhou (GCFP),2016,0,,,562.2139195262345,526.1823495711269
Guangzhou (GCFP),2017,0,,,523.0624830203443,756.6289598528965
Hangzhou Fuchunjiang,1992,0,,,987.505982760015,
Hangzhou Fuchunjiang,1993,0,,,959.1938700091315,643.4263428857876
Hangzhou Fuchunjiang,1994,0,,,841.3371092476353,710.6444034910924
Hangzhou Fuchunjiang,1995,0,0.5,,659.2490789967804,1003.1611059604347
Hangzhou Fuchunjiang,1996,0,0.5,,839.2436749351455,694.3183006954018
Hangzhou Fuchunjiang,1997,0,0.5,,906.3963774982449,686.8798854471715
Hangzhou Fuchunjiang,1998,0,0.5,,820.28826929231,498.08672926585473
Hangzhou Fuchunjiang,1999,0,0.6900000000000001,,557.9950901626388,452.20109928406646
Hangzhou Fuchunjiang,2000,0,0.8144,,555.4588259029698,533.8081174976221
Hangzhou Fuchunjiang,2001,0,0.9134399999999999,,585.971062800398,398.2247760378723
Hangzhou Fuchunjiang,2002,0,0.8240000000000001,,528.7539362675177,358.9698750922221
Hangzhou Fuchunjiang,2003,0,0.8073600000000001,,437.7020239493989,303.6604734259495
Hangzhou Fuchunjiang,2004,0,0.9856,,314.71018578087495,642.7808068011332
Hangzhou Fuchunjiang,2005,0,1.0270666666666668,,605.9993462162437,702.623222632848
Hangzhou Fuchunjiang,2006,0,0.9961333333333333,,654.0771892519688,1222.9212106889845
Hangzhou Fuchunjiang,2007,0,0.8064516129032258,,400.97019232272004,1066.9176514175442
Hangzhou Fuchunjiang,2008,0,0.8,,289.6092544923923,870.8586548308886
Hangzhou Fuchunjiang,2009,0,0.96,0.2897727272727273,484.40437246063215,733.937472228944
Hangzhou Fuchunjiang,2010,0,0.9826086956521739,0.2920353982300885,295.48463456469347,965.4771784642735
Hangzhou Fuchunjiang,2011,0,1.0,0.30434782608695654,344.9625421973603,1184.76825799962
Hangzhou Fuchunjiang,2012,0,1.0869565217391304,0.36,377.1973518924253,910.701977977671
Hangzhou Fuchunjiang,2013,0,1.2692307692307692,0.45454545454545453,416.49708654295705,620.9346932352228
Hangzhou Fuchunjiang,2014,0,1.125,0.027777777777777776,538.6579380491202,637.6917506905429
Hangzhou Fuchunjiang,2015,0,0.8888888888888888,,625.7403040522361,626.0847314924467
Hangzhou Fuchunjiang,2016,0,0.8888888888888888,,562.2139195262345,526.1823495711269
